"Date","FromCurrencyId","ToCurrencyId","ToCurrencySysname","EuroRate"
2024-10-16,2,6,MXN,0.0465569
2024-10-16,2,7,SEK,0.0881368
2024-10-16,2,8,NOK,0.0847350
2024-10-16,2,9,HUF,0.0024938
2024-10-16,2,10,CAD,0.6660894
2024-10-16,2,11,BRL,0.1627816
2024-10-16,2,12,PEN,0.2488000
2024-10-16,2,13,CLP,0.0009792
2024-10-16,2,14,INR,0.0109230
2024-10-16,2,15,NZD,0.5579112
2024-10-16,2,16,ALL,0.0094000
2024-10-16,2,17,COP,0.0002000
2024-10-15,2,1,USD,0.9171788
2024-10-15,2,2,EUR,1.0000000
2024-10-15,2,3,GBP,1.1996881
2024-10-15,2,4,JPY,0.0061406
2024-10-15,2,5,AUD,0.6159153
2024-10-15,2,6,MXN,0.0471482
2024-10-15,2,7,SEK,0.0884877
2024-10-15,2,8,NOK,0.0849907
2024-10-15,2,9,HUF,0.0024970
2024-10-15,2,10,CAD,0.6638784
2024-10-15,2,11,BRL,0.1640716
2024-10-15,2,12,PEN,0.2488000
2024-10-15,2,13,CLP,0.0009873
2024-10-15,2,14,INR,0.0109144
2024-10-15,2,15,NZD,0.5585968
2024-10-15,2,16,ALL,0.0094000
2024-10-15,2,17,COP,0.0002000
2024-10-14,2,1,USD,0.9161704
2024-10-14,2,2,EUR,1.0000000
2024-10-14,2,3,GBP,1.1952429
2024-10-14,2,4,JPY,0.0061203
2024-10-14,2,5,AUD,0.6154604
2024-10-14,2,6,MXN,0.0475391
2024-10-14,2,7,SEK,0.0879237
2024-10-14,2,8,NOK,0.0851317
2024-10-14,2,9,HUF,0.0024951
2024-10-14,2,10,CAD,0.6645843
2024-10-14,2,11,BRL,0.1627525
2024-10-14,2,12,PEN,0.2488000
2024-10-14,2,13,CLP,0.0009873
2024-10-14,2,14,INR,0.0109017
2024-10-14,2,15,NZD,0.5571651
2024-10-14,2,16,ALL,0.0094000
2024-10-14,2,17,COP,0.0002000
2024-10-13,2,1,USD,0.9142439
2024-10-13,2,2,EUR,1.0000000
2024-10-13,2,3,GBP,1.1946718
2024-10-13,2,4,JPY,0.0061372
2024-10-13,2,5,AUD,0.6160291
2024-10-13,2,6,MXN,0.0470907
2024-10-13,2,7,SEK,0.0880747
2024-10-13,2,8,NOK,0.0851840
2024-10-13,2,9,HUF,0.0024947
2024-10-13,2,10,CAD,0.6638784
2024-10-13,2,11,BRL,0.1642414
2024-10-13,2,12,PEN,0.2488000
2024-10-13,2,13,CLP,0.0009873
2024-10-13,2,14,INR,0.0108746
2024-10-13,2,15,NZD,0.5573825
2024-10-13,2,16,ALL,0.0094000
2024-10-13,2,17,COP,0.0002000
2024-10-12,2,1,USD,0.9142439
2024-10-12,2,2,EUR,1.0000000
2024-10-12,2,3,GBP,1.1946718
2024-10-12,2,4,JPY,0.0061372
2024-10-12,2,5,AUD,0.6160291
2024-10-12,2,6,MXN,0.0470907
2024-10-12,2,7,SEK,0.0880747
2024-10-12,2,8,NOK,0.0851840
2024-10-12,2,9,HUF,0.0024947
2024-10-12,2,10,CAD,0.6638784
